Section,Provision Text,Explanations,Case Laws,Related Sections,Linked Content
1,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactClick Flag for Google TranslateSEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
2,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactClick here to Leave a Comment!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Click here to Leave a Comment! (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
3,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContact←Prev & Next→ Links show on connected pages!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
4,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContact←Prev & Next→ Links show on connected pages!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
5,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContact←Prev & Next→ Links show on connected pages!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
6,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactClick here to Leave a Comment!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Click here to Leave a Comment! (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
7,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactClick Flag for Google TranslateSEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
8,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContact←Prev & Next→ Links show on connected pages!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
9,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactClick here to Leave a Comment!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Click here to Leave a Comment! (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
10,"Indian Penal Code, 1860
Bharatiya Nyaya Sanhita, 2023
Code of Criminal Procedure, 1973
Negotiable Instruments Act, 1881
Hindu Marriage Act, 1955
Indian Divorce Act, 1869
The Indian Evidence Act, 1872
Civil Procedure Code, 1908
The Motor Vehicles Act, 1988","function googleTranslateElementInit() { new google.translate.TranslateElement({pageLanguage: 'en', includedLanguages: 'hi,pa,gu,bn,kn,ml,mr,sd,ta,te', layout: google.translate.TranslateElement.Inli...
---
HomeAboutContactBest viewed on Chrome / Firefox / Safari!SEARCHIPCBNSCrPCNIAHMAIEAMVABare Acts
---
This is a mobile optimized site primarily designed for use by legal practitioners, viz. Attorneys, Advocates or Lawyers, but should also be indispensable to anyone who is related to or comes in dir...",None,None,"Link: Contact (https://devgan.in/contact.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Display Board *Live* (https://devgan.in/chandigarh/high_court/livedisplay.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25...
---
Link: Daily Cause Lists (https://devgan.in/chandigarh/high_court/causelist.php)
Content: <div id='notification' style='z-index:9999;position:absolute;left:0;top:0'><div class='overlay' style='position:fixed;top:0;left:0;width:100%;height:100%;background:url(""/images/overlay.png"")'><div class='notification warnbg' style='position:fixed;left:0;top:24%;width:100%;text-align:center'><div id='notifhead' style='display:block;font-variant:small-caps;border-bottom:1px solid;color:#FFFFF0'>No Javascript</div><div id='notifbody' style='display:inline-block;vertical-align:middle;padding:.25..."
